run_id,run_label,configuration,seed,summary_path,metric,metric_label,unit,target_type,reference_key,reference_value,target_value,target_improvement,value,v0_mean_value,improvement,v0_band_min,v0_band_max
D_MZIP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MZIP_1_seed2,D_MZIP_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MZIP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.925265,0.941485,0.016220000000000012,-0.043193999999999955,0.05641099999999999
D_IP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_IP_1,D_IP_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_IP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.920705,0.941485,0.02078000000000002,-0.043193999999999955,0.05641099999999999
D_IP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_IP_1_seed2,D_IP_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_IP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.894841,0.941485,0.04664400000000002,-0.043193999999999955,0.05641099999999999
D_MTP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTP_1,D_MTP_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.921863,0.941485,0.01962200000000003,-0.043193999999999955,0.05641099999999999
D_MTP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTP_1_seed2,D_MTP_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.906127,0.941485,0.035358,-0.043193999999999955,0.05641099999999999
D_MT_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MT_1,D_MT_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MT_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,1.770419,0.941485,-0.828934,-0.043193999999999955,0.05641099999999999
D_MT_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MT_1_seed2,D_MT_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MT_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,1.825387,0.941485,-0.8839020000000001,-0.043193999999999955,0.05641099999999999
D_MTC_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTC_1,D_MTC_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTC_1__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,1.682172,0.941485,-0.740687,-0.043193999999999955,0.05641099999999999
D_MTC_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MTC_1_seed2,D_MTC_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MTC_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_msl_thetae_pl_850_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,1.562658,0.941485,-0.6211730000000001,-0.043193999999999955,0.05641099999999999
V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0,V0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,scale.iss_primary,Integrated skill score,,one,,,1.0,0.5156903333333334,0.493738,0.48430966666666664,0.009428333333333372,-0.014125666666666647,0.009428333333333372
