configuration,pillar,pillar_median_gap,pillar_mean_gap,n_metrics
C_10,Distributional,0.40414161101173707,0.40414161101173707,2
V0_C_0,Distributional,0.5489538692887259,0.5489538692887259,2
V0_C_1,Distributional,0.06967762805259854,0.06967762805259854,2
V0_I_0,Distributional,0.2476967668578045,0.2476967668578045,2
V0_I_1,Distributional,0.30455974437417643,0.30455974437417643,2
V0_M_0,Distributional,0.3693275004277905,0.3693275004277905,2
V0_M_1,Distributional,0.4991596828672752,0.4991596828672752,2
V0_T_0,Distributional,0.4662947093082942,0.4662947093082942,2
V0_T_1,Distributional,0.7404264854323445,0.7404264854323445,2
V0_Z_0,Distributional,0.5800371094022307,0.5800371094022307,2
V0_Z_1,Distributional,0.6961528644180998,0.6961528644180998,2
D_IP_1,Distributional,0.1273007867810148,0.1273007867810148,2
D_MZP_1,Distributional,0.5729772019917967,0.5729772019917967,2
D_MTP_0,Distributional,0.28210588659224667,0.28210588659224667,2
D_MTP_1,Distributional,0.2615554878899905,0.2615554878899905,2
D_MTCP_1,Distributional,0.3953791602160359,0.3953791602160359,2
D_MZIP_1,Distributional,0.19471873773351267,0.19471873773351267,2
D_MT_1,Distributional,0.5774869030261316,0.5774869030261316,2
D_MTC_1,Distributional,0.7744398448813792,0.7744398448813792,2
C_10,Probabilistic,0.29514582601274975,0.6071424423940571,5
V0_C_0,Probabilistic,0.8216998266325437,1.6303793680647722,5
V0_C_1,Probabilistic,0.12373876813413019,0.7323297106310898,5
V0_I_0,Probabilistic,0.5837859545203555,0.5327911004300334,5
V0_I_1,Probabilistic,0.7192066374969043,0.7701860386036278,5
V0_M_0,Probabilistic,0.43901180549822505,0.5045287579776082,5
V0_M_1,Probabilistic,1.1080769037698914,0.9624799070322553,5
V0_T_0,Probabilistic,0.6207921289091911,1.2271200980589037,5
V0_T_1,Probabilistic,0.6377591486371172,1.4728038292689867,5
V0_Z_0,Probabilistic,0.6939238834310247,1.2855593992670449,5
V0_Z_1,Probabilistic,0.8999422108478494,0.7917132237822603,5
D_IP_1,Probabilistic,0.2596656794337635,0.4767441145487162,5
D_MZP_1,Probabilistic,1.301671602831183,1.1953566175028016,5
D_MTP_0,Probabilistic,0.6133125847096039,1.122096539058879,5
D_MTP_1,Probabilistic,0.5978081400148599,1.0285638980134586,5
D_MTCP_1,Probabilistic,0.4434800475204629,0.6033598301749905,5
