configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
D_IP_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,699.3543701171875,720.78955078125,21.4351806640625,625.8766479492188,771.1617431640625,145.28509521484375,0.14753874533629704
D_MTP_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,732.97802734375,714.0582275390625,18.9197998046875,625.8766479492188,771.1617431640625,145.28509521484375,0.13022533231443598
D_MT_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,422.00860595703125,327.7957763671875,94.21282958984375,625.8766479492188,771.1617431640625,145.28509521484375,0.6484686502116704
D_MTC_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,443.853515625,611.29541015625,167.44189453125,625.8766479492188,771.1617431640625,145.28509521484375,1.1525056598795724
C_10,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,123.41931915283203,111.69678497314453,11.7225341796875,83.54216003417969,113.93865203857422,30.39649200439453,0.3856541793701961
V0_I_0,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,108.52046203613281,95.02062225341797,13.499839782714844,83.54216003417969,113.93865203857422,30.39649200439453,0.44412492667782594
V0_T_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,117.2903823852539,87.60845184326172,29.681930541992188,83.54216003417969,113.93865203857422,30.39649200439453,0.9764919760379245
D_MZIP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,106.98373413085938,108.74478149414062,1.76104736328125,83.54216003417969,113.93865203857422,30.39649200439453,0.05793587506830226
D_IP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,98.98711395263672,103.28067016601562,4.293556213378906,83.54216003417969,113.93865203857422,30.39649200439453,0.14125170143838214
D_MTP_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,98.32405090332031,105.6337661743164,7.309715270996094,83.54216003417969,113.93865203857422,30.39649200439453,0.2404789101959299
D_MT_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,44.99193572998047,43.67897033691406,1.3129653930664062,83.54216003417969,113.93865203857422,30.39649200439453,0.043194635515064896
D_MTC_1,climatological.annual_sum_std,Spatial SD of annual precipitation,17,Climatological,55.571353912353516,72.63123321533203,17.059879302978516,83.54216003417969,113.93865203857422,30.39649200439453,0.5612450048680653
C_10,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.34870377645876377,0.35586301173404383,0.0071592352752800625,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.352984943180226
V0_I_0,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3499538003348575,0.3492117350269596,0.0007420653078978878,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.0365874105924122
V0_T_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.34637253664956535,0.3394751190158027,0.00689741763376267,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.34007606649702715
D_MZIP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3589072656302087,0.3618932612672369,0.002985995637028227,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.14722403437587536
D_IP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3285966176936123,0.3613712828983635,0.0327746652047512,0.3486051083280471,0.36888709319340357,0.020281984865356484,1.615949593805948
D_MTP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.36297677486836427,0.37152395214947054,0.008547177281106266,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.4214172004292164
D_MT_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.05388416718796842,0.09967253042931712,0.0457883632413487,0.3486051083280471,0.36888709319340357,0.020281984865356484,2.2575878813300703
D_MTC_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.11496354758609596,0.14303359097658372,0.028070043390487756,0.3486051083280471,0.36888709319340357,0.020281984865356484,1.3839889723236112
C_10,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.965068498836909,2.9538393385753174,0.011229160261591709,2.861802113660532,3.020843526302959,0.1590414126424271,0.07060525981895191
V0_I_0,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.9179552834586886,2.776232479675417,0.14172280378327162,2.861802113660532,3.020843526302959,0.1590414126424271,0.8911062938173662
V0_T_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.9881363114980823,2.8466144908094133,0.14152182068866903,2.861802113660532,3.020843526302959,0.1590414126424271,0.8898425783406025
D_MZIP_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,3.0334782953533974,3.228734374825595,0.1952560794721978,2.861802113660532,3.020843526302959,0.1590414126424271,1.2277058926230249
D_IP_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.896849609921863,2.9959534587162464,0.09910384879438361,2.861802113660532,3.020843526302959,0.1590414126424271,0.6231323474043761
D_MTP_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,3.0434996394870764,2.8669539157263992,0.17654572376067712,2.861802113660532,3.020843526302959,0.1590414126424271,1.1100613408006188
D_MT_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,1.5658352405392115,1.5247592126198368,0.0410760279193747,2.861802113660532,3.020843526302959,0.1590414126424271,0.25827252938029394
D_MTC_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,1.7877900859899047,2.195232679736438,0.40744259374653335,2.861802113660532,3.020843526302959,0.1590414126424271,2.5618647808579693
C_10,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.244564417996111,3.2357155902272092,0.008848827768901835,3.178275593729851,3.285429595322523,0.10715400159267219,0.08258046958002704
V0_I_0,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.2522434973726106,3.3641129376700674,0.11186944029745671,3.178275593729851,3.285429595322523,0.10715400159267219,1.0440061839473758
V0_T_1,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.2293357771678606,3.254299152601524,0.024963375433663337,3.178275593729851,3.285429595322523,0.10715400159267219,0.2329672719881931
D_MZIP_1,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.200212888816394,3.2480762409366375,0.04786335212024362,3.178275593729851,3.285429595322523,0.10715400159267219,0.4466781586205997
D_IP_1,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.302562146296105,3.2437338106081763,0.05882833568792867,3.178275593729851,3.285429595322523,0.10715400159267219,0.5490073614941104
D_MTP_1,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.262970549189673,3.280906859625553,0.017936310435879843,3.178275593729851,3.285429595322523,0.10715400159267219,0.16738815321206288
D_MT_1,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.4973916809965027,3.9564307612134435,0.45903908021694084,3.178275593729851,3.285429595322523,0.10715400159267219,4.2839191574188735
D_MTC_1,temporal.dry_mean_length_gen,Mean dry-spell length,20,Temporal,3.227624223088525,2.6344052979549155,0.5932189251336095,3.178275593729851,3.285429595322523,0.10715400159267219,5.536134127670107
