configuration,median_normalized_gap,mean_normalized_gap,q25_normalized_gap,q75_normalized_gap,maximum_normalized_gap,n_metrics,fraction_metrics_above_v0_range
V0_Z_1,0.282023625648236,0.49182113933560145,0.16132526217759247,0.789332075876181,1.651878853186114,21,0.14285714285714285
D_MTCP_1,0.36075215051668674,0.5218023490263831,0.17229788493294268,0.7122186845714537,1.6661919646118581,21,0.19047619047619047
V0_C_1,0.3651594011788918,1.08824591892873,0.08412876924453579,1.2470269464310515,6.066725663716768,21,0.3333333333333333
D_MZIP_1,0.38197958584480396,1.2178491332678232,0.1252745914755651,1.6335738999875538,6.720530973451271,21,0.38095238095238093
D_IP_1,0.38343802301619817,0.6261925130312476,0.14693116808034987,0.6882882747675136,2.3008849557521964,21,0.19047619047619047
V0_Z_0,0.4081095603127438,103.48380150901374,0.2738176389883599,0.9555194890754937,2158.036454728585,21,0.23809523809523808
D_MTP_1,0.4550442477876053,0.6008109204058268,0.2404789101959299,0.8225011182691715,1.8331874659768144,21,0.19047619047619047
C_10,0.49033540064632447,0.5648919182456753,0.27860563031453806,0.8371401885030142,1.284698707645294,21,0.23809523809523808
D_MTP_0,0.5553592378494256,0.7371921073524769,0.34495138805063447,0.8449520251337335,3.15185840707963,21,0.19047619047619047
V0_I_0,0.5798234563251383,0.8480283617849389,0.39140701163937414,0.9321005191249776,5.698053097345098,21,0.19047619047619047
V0_M_0,0.5883357007356068,1.048643249378749,0.4993511461124851,1.2744415901131572,3.645663716814132,21,0.3333333333333333
V0_C_0,0.6343241049377386,1.011016795272886,0.46139648996425864,1.2475774650317966,3.103410666059386,21,0.38095238095238093
V0_M_1,0.6981684633904832,14.89141861888981,0.45614636602945885,1.1080769037698914,296.52224909421795,21,0.3333333333333333
V0_T_1,0.7006491238361364,0.9933366969985526,0.34007606649702715,0.9764919760379245,4.814513274336257,21,0.23809523809523808
V0_I_1,0.7176793221303829,0.9101362033716109,0.3533676368466349,1.156538326389237,2.69934657403342,21,0.3333333333333333
V0_T_0,0.7399329878122846,0.9056080867190006,0.35433005861471156,1.4453149942618524,2.785663716814148,21,0.3333333333333333
D_MZP_1,0.8265226430891914,1.2656986852595227,0.6531685615554437,1.177870452638911,9.367079646017622,21,0.38095238095238093
D_MT_1,0.9050141146551206,199.53471514018872,0.645394426649343,2.1124152007881336,3210.8317784344813,18,0.4444444444444444
D_MTC_1,1.1515251302191722,59.9826476486898,0.5663880203504228,2.2617020668074908,1054.4584408203718,18,0.5555555555555556
