configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
D_MTCP_1,extremes.p99_9,99.9th percentile,12,Extremes,33.506688,31.199161,2.3075269999999968,32.462996,34.790453,2.3274570000000026,0.9914370061401754
D_MZIP_1,extremes.p99_9,99.9th percentile,12,Extremes,31.382185,43.72443,12.342244999999998,32.462996,34.790453,2.3274570000000026,5.30288851738184
D_MT_1,extremes.p99_9,99.9th percentile,12,Extremes,28.448523,26.440787,2.0077360000000013,32.462996,34.790453,2.3274570000000026,0.8626307596660213
D_MTC_1,extremes.p99_9,99.9th percentile,12,Extremes,32.416836,33.103337,0.6865009999999998,32.462996,34.790453,2.3274570000000026,0.2949575437913564
C_10,extremes.rx1day,RX1day,13,Extremes,15.809925,14.167259,1.6426660000000002,12.986301,15.926578,2.940277,0.5586772946902623
V0_C_0,extremes.rx1day,RX1day,13,Extremes,15.892474,13.7917,2.1007739999999995,12.986301,15.926578,2.940277,0.7144816627821119
V0_C_1,extremes.rx1day,RX1day,13,Extremes,15.112203,16.914627,1.8024240000000002,12.986301,15.926578,2.940277,0.6130116312170589
V0_I_0,extremes.rx1day,RX1day,13,Extremes,15.100971,14.19161,0.9093609999999988,12.986301,15.926578,2.940277,0.30927732319097784
V0_I_1,extremes.rx1day,RX1day,13,Extremes,13.916214,15.077656,1.1614419999999992,12.986301,15.926578,2.940277,0.3950110822891854
V0_M_0,extremes.rx1day,RX1day,13,Extremes,14.276186,15.9068,1.6306140000000013,12.986301,15.926578,2.940277,0.5545783611544087
V0_M_1,extremes.rx1day,RX1day,13,Extremes,889.585516,17.727967,871.857549,12.986301,15.926578,2.940277,296.52224909421795
V0_T_0,extremes.rx1day,RX1day,13,Extremes,13.717785,15.920246,2.2024610000000013,12.986301,15.926578,2.940277,0.7490658193088615
V0_T_1,extremes.rx1day,RX1day,13,Extremes,16.32861,15.504332,0.8242780000000014,12.986301,15.926578,2.940277,0.28034025365637366
V0_Z_0,extremes.rx1day,RX1day,13,Extremes,15.267705,6360.492658,6345.224953,12.986301,15.926578,2.940277,2158.036454728585
V0_Z_1,extremes.rx1day,RX1day,13,Extremes,15.110749,15.852242,0.7414930000000002,12.986301,15.926578,2.940277,0.2521847431381466
D_IP_1,extremes.rx1day,RX1day,13,Extremes,16.121795,14.994381,1.1274139999999981,12.986301,15.926578,2.940277,0.38343802301619817
D_MZP_1,extremes.rx1day,RX1day,13,Extremes,13.922613,15.804242,1.8816290000000002,12.986301,15.926578,2.940277,0.6399495693773071
D_MTP_0,extremes.rx1day,RX1day,13,Extremes,12.544273,15.63653,3.092257,12.986301,15.926578,2.940277,1.0516890075322836
D_MTP_1,extremes.rx1day,RX1day,13,Extremes,14.837589,15.558085,0.7204960000000007,12.986301,15.926578,2.940277,0.24504357922739955
D_MTCP_1,extremes.rx1day,RX1day,13,Extremes,13.04708,14.150008,1.1029280000000004,12.986301,15.926578,2.940277,0.3751102362124386
D_MZIP_1,extremes.rx1day,RX1day,13,Extremes,14.80682,15.175162,0.36834200000000017,12.986301,15.926578,2.940277,0.1252745914755651
D_MT_1,extremes.rx1day,RX1day,13,Extremes,9450.884876,10.150047,9440.734829,12.986301,15.926578,2.940277,3210.8317784344813
D_MTC_1,extremes.rx1day,RX1day,13,Extremes,3114.644009,14.244108,3100.399901,12.986301,15.926578,2.940277,1054.4584408203718
C_10,extremes.rx5day,RX5day,14,Extremes,36.387953,32.710006,3.677947000000003,29.380961,36.881841,7.500880000000002,0.49033540064632447
V0_C_0,extremes.rx5day,RX5day,14,Extremes,30.617527,32.975782,2.3582550000000033,29.380961,36.881841,7.500880000000002,0.31439711073900695
V0_C_1,extremes.rx5day,RX5day,14,Extremes,36.797873,36.651996,0.1458770000000058,29.380961,36.881841,7.500880000000002,0.01944798476978778
V0_I_0,extremes.rx5day,RX5day,14,Extremes,34.481524,31.151454,3.330069999999999,29.380961,36.881841,7.500880000000002,0.44395724235023065
V0_I_1,extremes.rx5day,RX5day,14,Extremes,29.622387,32.685383,3.062996000000002,29.380961,36.881841,7.500880000000002,0.40835155341773244
V0_M_0,extremes.rx5day,RX5day,14,Extremes,32.969956,36.627103,3.657146999999995,29.380961,36.881841,7.500880000000002,0.4875623926792581
V0_M_1,extremes.rx5day,RX5day,14,Extremes,32.708654,36.718469,4.009814999999996,29.380961,36.881841,7.500880000000002,0.5345792760316116
V0_T_0,extremes.rx5day,RX5day,14,Extremes,31.183149,36.662758,5.479608999999996,29.380961,36.881841,7.500880000000002,0.7305288179520263
V0_T_1,extremes.rx5day,RX5day,14,Extremes,37.76451,32.509025,5.255485,29.380961,36.881841,7.500880000000002,0.7006491238361364
V0_Z_0,extremes.rx5day,RX5day,14,Extremes,35.922559,33.720153,2.2024059999999963,29.380961,36.881841,7.500880000000002,0.2936196819573164
V0_Z_1,extremes.rx5day,RX5day,14,Extremes,34.52248,35.341718,0.8192379999999986,29.380961,36.881841,7.500880000000002,0.10921891831358432
D_IP_1,extremes.rx5day,RX5day,14,Extremes,34.20122,34.368233,0.1670129999999972,29.380961,36.881841,7.500880000000002,0.02226578748093519
D_MZP_1,extremes.rx5day,RX5day,14,Extremes,30.521088,35.420427,4.899338999999998,29.380961,36.881841,7.500880000000002,0.6531685615554437
D_MTP_0,extremes.rx5day,RX5day,14,Extremes,30.723134,34.888817,4.165683000000001,29.380961,36.881841,7.500880000000002,0.5553592378494256
D_MTP_1,extremes.rx5day,RX5day,14,Extremes,34.861668,35.534356,0.6726880000000008,29.380961,36.881841,7.500880000000002,0.08968121073794016
D_MTCP_1,extremes.rx5day,RX5day,14,Extremes,31.987543,32.642178,0.6546350000000025,29.380961,36.881841,7.500880000000002,0.08727442646729482
D_MZIP_1,extremes.rx5day,RX5day,14,Extremes,35.56042,34.839843,0.7205769999999987,29.380961,36.881841,7.500880000000002,0.09606566162903532
D_MT_1,extremes.rx5day,RX5day,14,Extremes,55.101544,2751.258898,2696.157354,29.380961,36.881841,7.500880000000002,359.4454722645875
D_MTC_1,extremes.rx5day,RX5day,14,Extremes,25.953838,30.317978,4.364139999999999,29.380961,36.881841,7.500880000000002,0.5818170667974955
C_10,features.gen_ens_SAL,SAL,15,Features,0.3658305106334798,0.3016603341753232,0.06417017645815665,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.256069766896263
V0_C_0,features.gen_ens_SAL,SAL,15,Features,0.44241248389810156,0.2838652317377019,0.15854725216039967,0.3691865243658537,0.4202745914058881,0.05108806704003438,3.103410666059386
V0_C_1,features.gen_ens_SAL,SAL,15,Features,0.3141065048267804,0.3285897089154967,0.01448320408871634,0.3691865243658537,0.4202745914058881,0.05108806704003438,0.2834948536488335
V0_I_0,features.gen_ens_SAL,SAL,15,Features,0.3223549067031968,0.3811517414485337,0.05879683474533692,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.150891747367574
V0_I_1,features.gen_ens_SAL,SAL,15,Features,0.4921227801301288,0.5064503347751516,0.014327554645022778,0.3691865243658537,0.4202745914058881,0.05108806704003438,0.28044816480911694
V0_M_0,features.gen_ens_SAL,SAL,15,Features,0.4324290313767092,0.30627708005794574,0.12615195131876344,0.3691865243658537,0.4202745914058881,0.05108806704003438,2.4693036677215914
V0_M_1,features.gen_ens_SAL,SAL,15,Features,0.4091534987903654,0.30714900589045724,0.10200449289990815,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.9966402882296153
V0_T_0,features.gen_ens_SAL,SAL,15,Features,0.39836208235361814,0.33999873599215236,0.058363346361465784,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.1424066272801092
V0_T_1,features.gen_ens_SAL,SAL,15,Features,0.28562947615878825,0.37020380116947826,0.08457432501069001,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.655461439643325
V0_Z_0,features.gen_ens_SAL,SAL,15,Features,0.45376748130093764,0.38341746663417425,0.07035001466676338,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.3770341831808723
V0_Z_1,features.gen_ens_SAL,SAL,15,Features,0.31466723126787344,0.2743417812586616,0.04032545000921184,0.3691865243658537,0.4202745914058881,0.05108806704003438,0.789332075876181
D_IP_1,features.gen_ens_SAL,SAL,15,Features,0.34747006441973305,0.3733122665393666,0.02584220211963356,0.3691865243658537,0.4202745914058881,0.05108806704003438,0.5058363648674106
D_MZP_1,features.gen_ens_SAL,SAL,15,Features,0.4245853437219521,0.38700599124626084,0.037579352475691274,0.3691865243658537,0.4202745914058881,0.05108806704003438,0.7355798458031851
D_MTP_0,features.gen_ens_SAL,SAL,15,Features,0.37873239769077693,0.3611094980524932,0.01762289963828373,0.3691865243658537,0.4202745914058881,0.05108806704003438,0.34495138805063447
D_MTP_1,features.gen_ens_SAL,SAL,15,Features,0.28907334802864704,0.35078123304942016,0.06170788502077312,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.2078727694358975
D_MTCP_1,features.gen_ens_SAL,SAL,15,Features,0.3578521855594864,0.4094123543145144,0.051560168755028,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.0092409390753356
D_MZIP_1,features.gen_ens_SAL,SAL,15,Features,0.2818632299750625,0.38237279548258785,0.10050956550752532,0.3691865243658537,0.4202745914058881,0.05108806704003438,1.9673785157845676
D_MT_1,features.gen_ens_SAL,SAL,15,Features,0.8074713160942946,1.0435786587337084,0.2361073426394138,0.3691865243658537,0.4202745914058881,0.05108806704003438,4.621575180254753
D_MTC_1,features.gen_ens_SAL,SAL,15,Features,0.7704662010570638,0.5761229104355421,0.19434329062152167,0.3691865243658537,0.4202745914058881,0.05108806704003438,3.804083847392925
C_10,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,729.3935546875,700.9620361328125,28.4315185546875,625.8766479492188,771.1617431640625,145.28509521484375,0.19569466855938472
V0_C_0,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,613.0679321289062,683.1214599609375,70.05352783203125,625.8766479492188,771.1617431640625,145.28509521484375,0.4821797289559397
V0_C_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,728.720458984375,740.943115234375,12.22265625,625.8766479492188,771.1617431640625,145.28509521484375,0.08412876924453579
V0_I_0,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,704.247802734375,636.4241943359375,67.8236083984375,625.8766479492188,771.1617431640625,145.28509521484375,0.4668311522124258
V0_I_1,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,610.1207275390625,674.0238037109375,63.903076171875,625.8766479492188,771.1617431640625,145.28509521484375,0.43984605631690454
V0_M_0,climatological.annual_sum_mean,Mean annual precipitation,16,Climatological,655.0636596679688,727.6119384765625,72.54827880859375,625.8766479492188,771.1617431640625,145.28509521484375,0.4993511461124851
