run_id,summary_run_id,run_label,configuration,seed,summary_path,probabilistic.crps_mean,scale.iss_primary,scale.slope_mid,scale.hr_slope_mid,extremes.p99_9,extremes.hr_p99_9,climatological.annual_sum_mean,climatological.hr_annual_sum_mean,climatological.annual_sum_std,climatological.hr_annual_sum_std
V0_I_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0_seed2,V0_I_0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.949425,0.480187,-2.42461,-2.731742,31.093652,38.820392,636.4241943359375,877.1588134765625,95.02062225341797,146.65576171875
V0_I_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_1,V0_I_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,1.045367,0.4545,-2.112303,-2.731742,40.028364,38.820392,610.1207275390625,877.1588134765625,84.48809814453125,146.65576171875
V0_I_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_1_seed2,V0_I_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.93017,0.481095,-2.366721,-2.731742,35.23166,38.820392,674.0238037109375,877.1588134765625,106.30303192138672,146.65576171875
V0_M_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_0,V0_M_0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_M_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.946749,0.482172,-2.315432,-2.731742,36.298675,38.820392,655.0636596679688,877.1588134765625,100.1398696899414,146.65576171875
V0_M_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_0_seed2,V0_M_0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_M_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.877256,0.490841,-2.549379,-2.731742,33.332467,38.820392,727.6119384765625,877.1588134765625,131.59461975097656,146.65576171875
V0_M_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_1,V0_M_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_M_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.986981,0.483106,-2.37498,-2.731742,35.694104,38.820392,641.7977294921875,877.1588134765625,84.45860290527344,146.65576171875
V0_M_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_M_1_seed2,V0_M_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_M_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.876611,0.495633,-2.36946,-2.731742,37.61021,38.820392,743.231201171875,877.1588134765625,114.73743438720703,146.65576171875
V0_T_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_0,V0_T_0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_T_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.960244,0.471949,-2.498908,-2.731742,33.946271,38.820392,656.5264282226562,877.1588134765625,99.39704132080078,146.65576171875
V0_T_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_0_seed2,V0_T_0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_T_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.89841,0.470669,-2.331409,-2.731742,37.728901,38.820392,764.5823974609375,877.1588134765625,124.3858642578125,146.65576171875
V0_T_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_1,V0_T_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_T_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.870516,0.479725,-2.423153,-2.731742,37.782462,38.820392,782.7293701171875,877.1588134765625,117.2903823852539,146.65576171875
